Step,FOWM_AnymalEnv_sweep_4 - rewards,FOWM_AnymalEnv_sweep_4 - rewards__MIN,FOWM_AnymalEnv_sweep_4 - rewards__MAX,FOWM_AnymalEnv_sweep_3 - rewards,FOWM_AnymalEnv_sweep_3 - rewards__MIN,FOWM_AnymalEnv_sweep_3 - rewards__MAX,FOWM_AnymalEnv_sweep_2 - rewards,FOWM_AnymalEnv_sweep_2 - rewards__MIN,FOWM_AnymalEnv_sweep_2 - rewards__MAX,FOWM_AnymalEnv_sweep_1 - rewards,FOWM_AnymalEnv_sweep_1 - rewards__MIN,FOWM_AnymalEnv_sweep_1 - rewards__MAX,FOWM_AnymalEnv_sweep_0 - rewards,FOWM_AnymalEnv_sweep_0 - rewards__MIN,FOWM_AnymalEnv_sweep_0 - rewards__MAX
0,36.160888671875,36.160888671875,36.160888671875,24.003400802612305,24.003400802612305,24.003400802612305,23.300392150878903,23.300392150878903,23.300392150878903,27.232524871826172,27.232524871826172,27.232524871826172,25.238832473754883,25.238832473754883,25.238832473754883
16384,41.39922933851297,41.39922933851297,41.39922933851297,37.69102697645242,37.69102697645242,37.69102697645242,37.83813696180398,37.83813696180398,37.83813696180398,37.560354521618436,37.560354521618436,37.560354521618436,28.626907637463162,28.626907637463162,28.626907637463162
32768,50.46185360500445,50.46185360500445,50.46185360500445,38.027435880395075,38.027435880395075,38.027435880395075,42.67878399440875,42.67878399440875,42.67878399440875,41.512272458764215,41.512272458764215,41.512272458764215,28.769472699853083,28.769472699853083,28.769472699853083
49152,53.01558581216977,53.01558581216977,53.01558581216977,41.91897860391781,41.91897860391781,41.91897860391781,42.90140047891781,42.90140047891781,42.90140047891781,47.13152972086117,47.13152972086117,47.13152972086117,32.230112942296714,32.230112942296714,32.230112942296714
65536,56.20403405327062,56.20403405327062,56.20403405327062,51.151074611131946,51.151074611131946,51.151074611131946,55.847390376512806,55.847390376512806,55.847390376512806,54.706120692674915,54.706120692674915,54.706120692674915,43.98712273735264,43.98712273735264,43.98712273735264
81920,54.236785425474984,54.236785425474984,54.236785425474984,58.77863265447889,58.77863265447889,58.77863265447889,65.04382659368788,65.04382659368788,65.04382659368788,69.30250884466444,69.30250884466444,69.30250884466444,61.749881281187875,61.749881281187875,61.749881281187875
98304,59.75095159260123,59.75095159260123,59.75095159260123,65.34571248737663,65.34571248737663,65.34571248737663,76.01486760822624,76.01486760822624,76.01486760822624,76.66390020099968,76.66390020099968,76.66390020099968,52.58190328327506,52.58190328327506,52.58190328327506
114688,65.524459953331,65.524459953331,65.524459953331,77.01081859590913,77.01081859590913,77.01081859590913,85.60110485079194,85.60110485079194,85.60110485079194,79.55979167940522,79.55979167940522,79.55979167940522,60.60726177217865,60.60726177217865,60.60726177217865
131072,70.4266380528303,70.4266380528303,70.4266380528303,105.79992143906077,105.79992143906077,105.79992143906077,90.2990745762678,90.2990745762678,90.2990745762678,99.61046831406077,99.61046831406077,99.61046831406077,69.37947313583811,69.37947313583811,69.37947313583811
147456,89.31491539549364,89.31491539549364,89.31491539549364,123.79365990232958,123.79365990232958,123.79365990232958,113.02441093992724,113.02441093992724,113.02441093992724,121.0904662377788,121.0904662377788,121.0904662377788,100.0661513574077,100.0661513574077,100.0661513574077
163840,110.6319494520242,110.6319494520242,110.6319494520242,125.41371062145778,125.41371062145778,125.41371062145778,129.89227202282495,129.89227202282495,129.89227202282495,144.62610533581326,144.62610533581326,144.62610533581326,116.74771788464138,116.74771788464138,116.74771788464138
180224,148.36802800318364,148.36802800318364,148.36802800318364,125.99403508326176,125.99403508326176,125.99403508326176,139.026810962168,139.026810962168,139.026810962168,153.0653546633399,153.0653546633399,153.0653546633399,120.98680241724614,120.98680241724614,120.98680241724614
196608,166.65377391274154,166.65377391274154,166.65377391274154,133.82874644692123,133.82874644692123,133.82874644692123,151.9255634635228,151.9255634635228,151.9255634635228,168.9869648307103,168.9869648307103,168.9869648307103,119.71178782875717,119.71178782875717,119.71178782875717
212992,189.01056474417442,189.01056474417442,189.01056474417442,148.09950822561973,148.09950822561973,148.09950822561973,161.32855790823692,161.32855790823692,161.32855790823692,174.6971339580416,174.6971339580416,174.6971339580416,126.66330522269004,126.66330522269004,126.66330522269004
229376,192.29896568302922,192.29896568302922,192.29896568302922,387.9679720306854,387.9679720306854,387.9679720306854,166.28205894474794,166.28205894474794,166.28205894474794,186.37701438908385,186.37701438908385,186.37701438908385,137.95280479435732,137.95280479435732,137.95280479435732
