"Step","FOWM_HopperEnv_sweep_4 - rewards","FOWM_HopperEnv_sweep_4 - rewards__MIN","FOWM_HopperEnv_sweep_4 - rewards__MAX","FOWM_HopperEnv_sweep_3 - rewards","FOWM_HopperEnv_sweep_3 - rewards__MIN","FOWM_HopperEnv_sweep_3 - rewards__MAX","FOWM_HopperEnv_sweep_2 - rewards","FOWM_HopperEnv_sweep_2 - rewards__MIN","FOWM_HopperEnv_sweep_2 - rewards__MAX","FOWM_HopperEnv_sweep_1 - rewards","FOWM_HopperEnv_sweep_1 - rewards__MIN","FOWM_HopperEnv_sweep_1 - rewards__MAX","FOWM_HopperEnv_sweep_0 - rewards","FOWM_HopperEnv_sweep_0 - rewards__MIN","FOWM_HopperEnv_sweep_0 - rewards__MAX"
"2048","","","","","","","21.25238800048828","21.25238800048828","21.25238800048828","","","","-5.364143371582031","-5.364143371582031","-5.364143371582031"
"3072","-132.40948486328125","-132.40948486328125","-132.40948486328125","59.09175109863281","59.09175109863281","59.09175109863281","24.94000816345215","24.94000816345215","24.94000816345215","-95.84574127197266","-95.84574127197266","-95.84574127197266","-23.371416091918945","-23.371416091918945","-23.371416091918945"
"4096","-58.75522994995117","-58.75522994995117","-58.75522994995117","28.94631576538086","28.94631576538086","28.94631576538086","24.968647003173828","24.968647003173828","24.968647003173828","","","","","",""
"5120","-27.462120056152344","-27.462120056152344","-27.462120056152344","","","","24.341516494750977","24.341516494750977","24.341516494750977","-109.14744567871094","-109.14744567871094","-109.14744567871094","-41.02640914916992","-41.02640914916992","-41.02640914916992"
"6144","-9.313504219055176","-9.313504219055176","-9.313504219055176","19.821630477905273","19.821630477905273","19.821630477905273","24.484554290771484","24.484554290771484","24.484554290771484","","","","-36.86321258544922","-36.86321258544922","-36.86321258544922"
"7168","0.7738178372383118","0.7738178372383118","0.7738178372383118","20.642045974731445","20.642045974731445","20.642045974731445","24.484554290771484","24.484554290771484","24.484554290771484","-150.7303924560547","-150.7303924560547","-150.7303924560547","-5.75782585144043","-5.75782585144043","-5.75782585144043"
"8192","","","","","","","24.982685089111328","24.982685089111328","24.982685089111328","-116.0629653930664","-116.0629653930664","-116.0629653930664","","",""
"9216","10.669899940490723","10.669899940490723","10.669899940490723","27.973873138427734","27.973873138427734","27.973873138427734","26.863515853881836","26.863515853881836","26.863515853881836","-100.26622772216797","-100.26622772216797","-100.26622772216797","","",""
"10240","11.377298355102539","11.377298355102539","11.377298355102539","34.34469985961914","34.34469985961914","34.34469985961914","","","","-92.92198944091797","-92.92198944091797","-92.92198944091797","","",""
"11264","","","","34.7374267578125","34.7374267578125","34.7374267578125","","","","","","","15.169087409973145","15.169087409973145","15.169087409973145"
"12288","","","","29.879535675048828","29.879535675048828","29.879535675048828","34.33260726928711","34.33260726928711","34.33260726928711","-77.37644958496094","-77.37644958496094","-77.37644958496094","19.596294403076172","19.596294403076172","19.596294403076172"
"13312","","","","","","","34.03184127807617","34.03184127807617","34.03184127807617","-75.25809478759766","-75.25809478759766","-75.25809478759766","22.427385330200195","22.427385330200195","22.427385330200195"
"14336","4.914468765258789","4.914468765258789","4.914468765258789","","","","35.23514175415039","35.23514175415039","35.23514175415039","","","","","",""
