Step,FOWM_HumanoidEnv_sweep_4 - rewards,FOWM_HumanoidEnv_sweep_4 - rewards__MIN,FOWM_HumanoidEnv_sweep_4 - rewards__MAX,FOWM_HumanoidEnv_sweep_3 - rewards,FOWM_HumanoidEnv_sweep_3 - rewards__MIN,FOWM_HumanoidEnv_sweep_3 - rewards__MAX,FOWM_HumanoidEnv_sweep_1 - rewards,FOWM_HumanoidEnv_sweep_1 - rewards__MIN,FOWM_HumanoidEnv_sweep_1 - rewards__MAX,FOWM_HumanoidEnv_sweep_2 - rewards,FOWM_HumanoidEnv_sweep_2 - rewards__MIN,FOWM_HumanoidEnv_sweep_2 - rewards__MAX,FOWM_HumanoidEnv_sweep_0 - rewards,FOWM_HumanoidEnv_sweep_0 - rewards__MIN,FOWM_HumanoidEnv_sweep_0 - rewards__MAX
0,49.924957275390625,49.924957275390625,49.924957275390625,59.1549072265625,59.1549072265625,59.1549072265625,38.0771598815918,38.0771598815918,38.0771598815918,49.38322830200195,49.38322830200195,49.38322830200195,43.97248458862305,43.97248458862305,43.97248458862305
4096,57.762073256631304,57.762073256631304,57.762073256631304,87.54314778055709,87.54314778055709,87.54314778055709,64.79221699442428,64.79221699442428,64.79221699442428,62.905269362588335,62.905269362588335,62.905269362588335,54.64789555277389,54.64789555277389,54.64789555277389
8192,69.6458735030087,69.6458735030087,69.6458735030087,86.56343026570401,86.56343026570401,86.56343026570401,71.10535378865323,71.10535378865323,71.10535378865323,66.44850106648526,66.44850106648526,66.44850106648526,58.8214335005673,58.8214335005673,58.8214335005673
12288,80.20286100524548,80.20286100524548,80.20286100524548,89.7770110906947,89.7770110906947,89.7770110906947,81.26777952331189,81.26777952331189,81.26777952331189,70.9017669500697,70.9017669500697,70.9017669500697,69.24452512878064,69.24452512878064,69.24452512878064
16384,91.44567767007993,91.44567767007993,91.44567767007993,94.06070605142756,94.06070605142756,94.06070605142756,92.14614001138851,92.14614001138851,92.14614001138851,80.94985094888851,80.94985094888851,80.94985094888851,75.01869860513851,75.01869860513851,75.01869860513851
20480,99.13865912983623,99.13865912983623,99.13865912983623,94.72426093647685,94.72426093647685,94.72426093647685,97.11603797505107,97.11603797505107,97.11603797505107,88.33926642964092,88.33926642964092,88.33926642964092,82.00047553608623,82.00047553608623,82.00047553608623
24576,106.60252224242456,106.60252224242456,106.60252224242456,99.2840484265066,99.2840484265066,99.2840484265066,110.33003841674096,110.33003841674096,110.33003841674096,93.69651638304956,93.69651638304956,93.69651638304956,88.3910812023855,88.3910812023855,88.3910812023855
28672,120.52514084817696,120.52514084817696,120.52514084817696,105.11770066263009,105.11770066263009,105.11770066263009,114.31463822366524,114.31463822366524,114.31463822366524,101.45362290384102,101.45362290384102,101.45362290384102,96.9991017246418,96.9991017246418,96.9991017246418
32768,122.01770574299186,122.01770574299186,122.01770574299186,114.90575963703483,114.90575963703483,114.90575963703483,114.89141637531608,114.89141637531608,114.89141637531608,107.03333837238641,107.03333837238641,107.03333837238641,102.45618230549186,102.45618230549186,102.45618230549186
36864,121.21578363829504,121.21578363829504,121.21578363829504,116.77270655089269,116.77270655089269,116.77270655089269,122.421708626088,122.421708626088,122.421708626088,110.5457549517716,110.5457549517716,110.5457549517716,105.6339354937638,105.6339354937638,105.6339354937638
