"Step","TDMPC2_pendulum-swingup_sweep_250k_0 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_250k_0 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_250k_0 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_100k_0 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_100k_0 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_100k_0 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_100k_2 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_100k_2 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_100k_2 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_250k_1 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_250k_1 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_250k_1 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_50k_2 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_50k_2 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_50k_2 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_250k_2 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_250k_2 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_250k_2 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_50k_0 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_50k_0 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_50k_0 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_50k_1 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_50k_1 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_50k_1 - pretrain/episode_reward__MAX","TDMPC2_pendulum-swingup_sweep_100k_1 - pretrain/episode_reward","TDMPC2_pendulum-swingup_sweep_100k_1 - pretrain/episode_reward__MIN","TDMPC2_pendulum-swingup_sweep_100k_1 - pretrain/episode_reward__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2500","0","0","0","0","0","0","4.9","4.9","4.9","0","0","0","121.6","121.6","121.6","3.8","3.8","3.8","0","0","0","0","0","0","0","0","0"
"5000","0.1","0.1","0.1","90.7","90.7","90.7","1.4","1.4","1.4","0","0","0","1.4","1.4","1.4","2","2","2","0.1","0.1","0.1","0","0","0","0","0","0"
"7500","0","0","0","15.2","15.2","15.2","1.9","1.9","1.9","0","0","0","30.3","30.3","30.3","1.9","1.9","1.9","23.8","23.8","23.8","0","0","0","0","0","0"
"10000","0","0","0","0","0","0","100","100","100","0","0","0","43.6","43.6","43.6","1.2","1.2","1.2","34.7","34.7","34.7","0","0","0","14.3","14.3","14.3"
"12500","0","0","0","0","0","0","0","0","0","0.8","0.8","0.8","0","0","0","0","0","0","0","0","0","2.6","2.6","2.6","0.8","0.8","0.8"
"15000","0","0","0","0","0","0","5.7","5.7","5.7","2","2","2","0","0","0","0","0","0","0","0","0","2.6","2.6","2.6","2","2","2"
"17500","0","0","0","51.7","51.7","51.7","1.4","1.4","1.4","0","0","0","1.1","1.1","1.1","1","1","1","0","0","0","0","0","0","746.9","746.9","746.9"
"20000","0","0","0","2.4","2.4","2.4","1.1","1.1","1.1","0","0","0","627.5","627.5","627.5","1.3","1.3","1.3","2.4","2.4","2.4","0","0","0","809.1","809.1","809.1"
"22500","0","0","0","753.1","753.1","753.1","0","0","0","0","0","0","827.2","827.2","827.2","92.6","92.6","92.6","776","776","776","0","0","0","784","784","784"
"25000","0","0","0","821","821","821","710.9","710.9","710.9","0","0","0","597","597","597","592.8","592.8","592.8","790.8","790.8","790.8","774.4","774.4","774.4","763.3","763.3","763.3"
"27500","185.4","185.4","185.4","744.4","744.4","744.4","834.6","834.6","834.6","0","0","0","850","850","850","844.4","844.4","844.4","837.8","837.8","837.8","738.7","738.7","738.7","763.3","763.3","763.3"
